track_title,album_name,artist,release_year,song_length_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,Mood,decade
Oh! Carol,All Time Greatest Hits,Neil Sedaka,1983-03-28,136200,48,0.58,0.761,0.622,1.09e-05,0.362,-13.001,0.04,0.825,132.685,4,0,1950
I Wanna Be Loved - Remastered,Greatest Love Songs,Ricky Nelson,2008,165320,12,0.669,0.645,0.443,0.0,0.059,-5.996,0.0294,0.475,111.666,4,1,1950
You Got What It Takes,United Artists Black Singles 1959-1967: ''Motor City To Central Park'',Various Artists,2009-01-23,163386,0,0.697,0.752,0.597,0.0,0.337,-13.186,0.103,0.959,136.397,4,0,1950
The Village Of St Bernadette,Best Of Andy Williams,Andy Williams,1991-02-19,203600,11,0.235,0.912,0.198,1.63e-06,0.25,-14.609,0.03,0.229,87.256,3,1,1950
Not One Minute More,Whatever Lola Wants,Della Reese,2016-05-30,158360,13,0.348,0.835,0.467,0.000437,0.124,-6.346,0.0329,0.258,122.738,4,1,1950
Danny Boy,Great Sax,Sil Austin,1995-01-01,171760,7,0.253,0.383,0.365,0.891,0.127,-11.87,0.029,0.38,68.646,3,1,1950
Misty,Johnny Mathis Gold: A 50th Anniversary Celebration,Johnny Mathis,1956,214293,0,0.26,0.919,0.319,0.00498,0.193,-11.264,0.0316,0.194,87.727,4,1,1950
Dance with Me,All-Time Greatest Hits & More 1959-1965,The Drifters,1988-11-15,145546,29,0.426,0.351,0.44,0.0,0.154,-8.119,0.0296,0.537,131.348,4,0,1950
Just As Much As Ever,Just As Much As Ever,Bob Beckham,2012-11-20,143394,0,0.569,0.827,0.351,0.0,0.322,-9.087,0.0267,0.5,84.942,4,1,1950
God Bless America,The Very Best Of Connie Francis Vol.2,Connie Francis,1987-11-23,168866,0,0.275,0.47,0.303,0.00552,0.143,-12.172,0.0335,0.61,186.406,3,1,1950
Always,Paradise,Sammy Turner,2010-04-20,128320,0,0.665,0.883,0.315,0.81,0.141,-13.873,0.0355,0.779,108.775,4,2,1950
Talk That Talk,The Ultimate Jackie Wilson,Jackie Wilson,2006,132946,15,0.63,0.629,0.666,0.0,0.897,-5.444,0.051,0.873,143.998,4,0,1950
Reveille Rock,Rock 'N' Roll Legend: Johnny And The Hurricanes,Johnny & The Hurricanes,2008-01-01,140813,18,0.459,0.0779,0.746,0.0545,0.584,-14.327,0.0375,0.963,93.3,4,0,1950
Mighty Good - 1990 Digital Remaster,The Legendary Masters Series (Volume 1),Ricky Nelson,1990-01-01,140160,4,0.562,0.211,0.663,0.0,0.326,-11.33,0.0474,0.928,81.253,4,0,1950
The Clouds,The Clouds / The Lonely Jet Pilot (Digital 45),The Spacemen,2013-10-29,164571,0,0.815,0.202,0.818,0.591,0.0773,-6.924,0.0409,0.891,104.489,4,2,1950
Believe Me,Forever Doowop,Various Artists,2010-10-07,154333,0,0.48,0.895,0.452,0.0759,0.17,-10.077,0.0286,0.637,76.815,4,1,1950
Swingin' On A Rainbow,Beach Party,Frankie Avalon,2013-12-04,116213,6,0.587,0.648,0.43,0.0,0.138,-9.375,0.0314,0.96,76.615,4,0,1950
How About That,Rain Drops,Dee Clark,1993-01-01,161230,2,0.593,0.719,0.252,0.0,0.431,-15.847,0.0637,0.861,149.811,4,0,1950
Teen Angel,Pop Megahits Of The 1950's Vol. 1,Various Artists,2005,159893,31,0.57,0.936,0.0636,0.0,0.122,-18.548,0.0459,0.282,101.517,4,1,1950
What About Us,Coast Along With The Coasters,The Coasters,2005-02-08,171533,12,0.666,0.589,0.488,3.95e-05,0.0522,-15.711,0.0463,0.962,147.255,4,0,1950
A Year Ago Tonight - Stereo,For Collectors Only,Johnny Maestro,1993,147200,6,0.697,0.802,0.439,0.0,0.225,-12.188,0.0614,0.805,143.508,4,1,1950
High School USA (National Version),Rubber Biscuit: Essential ‘50s Hits,Various Artists,2017-02-10,132733,0,0.715,0.305,0.683,0.0,0.478,-9.742,0.13,0.887,116.027,4,0,1950
"(If You Cry) True Love, True Love - Single Version",Up on the Roof: The Best of the Drifters,The Drifters,2005-02-08,141426,14,0.511,0.67,0.236,0.0,0.0953,-14.496,0.043,0.196,141.222,4,1,1950
Happy Anniversary,The Singles Collection 1952-62,The Four Lads,2018-02-09,175520,0,0.303,0.84,0.475,8.79e-06,0.313,-8.79,0.0293,0.445,101.718,4,1,1950
He'll Have to Go,The Essential Jim Reeves,Jim Reeves,1997-02-14,138640,56,0.554,0.909,0.186,0.00144,0.11,-15.846,0.0379,0.2,81.181,3,1,1950
White Christmas,Holiday Inn (Original Motion Picture Soundtrack),Bing Crosby,1942-01-01,177480,55,0.317,0.673,0.158,0.353,0.338,-16.485,0.0381,0.247,130.503,3,1,1950
Mary Don't You Weep,Best of Stonewall Jackson,Stonewall Jackson,2014-07-11,146146,6,0.628,0.419,0.627,0.0,0.135,-8.418,0.028,0.905,134.487,4,0,1950
If I Had a Girl,One More Time: Rarely Heard Hits,Various Artists,2016-09-23,130946,0,0.394,0.726,0.355,0.000171,0.201,-12.773,0.0439,0.568,123.288,4,1,1950
Lollipop,Famous One Hit Wonders - Back In Time Vol. 2,Various Artists,2013-07-20,144693,0,0.707,0.698,0.42,0.0044,0.202,-10.222,0.0395,0.596,112.556,4,1,1950
No Love Have I,The Collection '52-'60,Webb Pierce,2014-06-16,146826,0,0.651,0.75,0.615,0.00482,0.1,-10.137,0.0356,0.807,132.022,4,0,1950
Deck Of Cards,"Winking At Life: God, Country, Mom & Apple Pie",Wink Martindale,2000-01-01,240880,22,0.49,0.871,0.376,4.1e-06,0.121,-16.06,0.618,0.672,170.841,3,1,1950
Do-Re-Mi,Greatest Hits,Mitch Miller,1950,125973,4,0.625,0.872,0.732,0.000824,0.208,-8.734,0.0435,0.805,115.326,4,0,1950
Love Potion No. 9,United Artists Black Singles 1959-1967: ''Motor City To Central Park'',Various Artists,2009-01-23,112200,0,0.71,0.811,0.712,0.0,0.109,-6.299,0.0515,0.911,128.758,4,2,1950
Where Or When,The Best Of Dion & The Belmonts,Dion & The Belmonts,2005-01-01,157800,28,0.444,0.796,0.267,0.0,0.127,-11.644,0.0282,0.455,110.661,3,1,1950
Let's Try Again,Lover Please/The Complete MGM & Mercury Singles,Clyde McPhatter,2010-01-01,148866,5,0.705,0.751,0.349,0.0,0.0764,-12.055,0.136,0.93,147.248,4,1,1950
Just One More Chance,The Essential Collection,Rod Bernard,1997-11-25,167826,1,0.74,0.645,0.481,0.000136,0.128,-11.406,0.037,0.849,136.077,4,0,1950
"Shimmy, Shimmy, Ko-Ko-Bop",Greatest Hits,Little Anthony & The Imperials,2005-09-20,130573,38,0.7,0.638,0.447,0.0,0.233,-12.969,0.0502,0.826,116.08,4,0,1950
This Time of the Year,Christmas Music 100 Hits,Various Artists,2015-10-28,145933,8,0.3,0.893,0.223,1.92e-05,0.092,-11.654,0.0296,0.124,67.323,4,1,1950
Down By the Station,Down By the Station,The Four Preps,2007-11-27,172066,22,0.754,0.324,0.442,0.0,0.0634,-15.178,0.0403,0.971,118.641,4,0,1950
Unforgettable,The Collection,Dinah Washington,2014-05-09,162866,0,0.308,0.728,0.299,0.0028,0.457,-12.86,0.0339,0.195,93.261,3,1,1950
"Climb Ev'ry Mountain (From ""The Sound Of Music"") - Live at Carnegie Hall, New York, NY - June 1962",Tony Bennett At Carnegie Hall - The Complete Concert,Tony Bennett,1962,132106,3,0.279,0.878,0.152,5.95e-06,0.986,-19.859,0.063,0.331,118.911,4,1,1950
Run Red Run,Coast Along With The Coasters,The Coasters,2005-02-08,182933,22,0.655,0.474,0.541,0.0,0.123,-15.497,0.202,0.798,145.198,4,0,1950
Beyond The Sunset,I Remember Red - My Tribute To Red Foley,Pat Boone,1994-01-01,175280,2,0.293,0.624,0.144,6.04e-05,0.123,-21.792,0.0388,0.418,145.033,3,1,1950
Put Your Head On My Shoulder,Put Your Head On My Shoulder: The Very Best Of Paul Anka,Paul Anka,2000-10-03,154733,73,0.547,0.747,0.335,0.0,0.101,-9.2,0.0307,0.474,115.838,3,1,1950
Handy Man,Soul Hits Of The 60's,Various Artists,1993-01-01,126560,3,0.538,0.716,0.69,0.0,0.192,-9.509,0.0484,0.761,73.389,4,2,1950
Lonely Blue Boy - Single Version,Gold,Conway Twitty,2006-01-01,133066,25,0.665,0.702,0.296,0.000172,0.127,-14.353,0.0427,0.629,112.792,3,1,1950
Sweet Nothin's,Brenda Lee,Brenda Lee,1960-08-01,144600,50,0.778,0.642,0.413,0.00104,0.148,-10.551,0.0514,0.961,125.235,4,0,1950
Honey Hush,Big Joe Turner: The Rhythm & Blues Years,Big Joe Turner,2005-04-19,162946,28,0.472,0.586,0.592,0.0,0.125,-7.532,0.0681,0.671,169.218,4,0,1950
Smooth Operator,Golden Hits - Sarah Vaughan,Sarah Vaughan,1990-01-01,140240,0,0.648,0.839,0.519,2.25e-05,0.195,-10.521,0.049,0.725,121.737,4,0,1950
Little Things Mean a Lot,The Best of Joni James,Joni James,2014-10-20,152360,23,0.288,0.338,0.539,0.0,0.116,-8.253,0.032,0.556,113.129,4,0,1950
Tiny Tim,"The Complete Singles As & BS 1949-62, Vol. 2",LaVern Baker,2015-04-13,140906,5,0.756,0.533,0.498,0.0,0.403,-11.174,0.325,0.806,138.365,4,0,1950
We Told You Not to Marry,The Golden Age of Rock ’n’ Roll Radio,Various Artists,2017-03-24,136306,0,0.572,0.859,0.538,0.0,0.166,-6.473,0.0434,0.882,142.523,4,0,1950
Talk To Me,Frank Sinatra: The Complete Capitol Singles Collection,Frank Sinatra,1996-01-01,182040,13,0.228,0.812,0.046,0.0,0.181,-22.602,0.0357,0.19,90.57,3,1,1950
Harlem Nocturne - Single Version,Harlem Nocturne,The Viscounts,1965-04-08,143386,29,0.357,0.801,0.321,0.626,0.113,-14.848,0.0397,0.47,165.689,4,1,1950
Darling Lorraine,Goodies Old Is New: Rare Singles From The Golden Age of Rock and Roll,Rare Singles From The Golden Age of Rock and Roll,2004-03-15,121443,18,0.531,0.876,0.298,0.000447,0.139,-12.216,0.0265,0.539,107.521,3,1,1950
Lonely Street,Best Of Andy Williams,Andy Williams,1991-02-19,166493,14,0.428,0.95,0.111,0.0115,0.087,-16.501,0.0317,0.389,100.486,3,1,1950
You Were Mine,The Great Rhythm & Blues Groups,Various Artists,2017-01-30,115147,24,0.608,0.799,0.368,0.0469,0.476,-8.989,0.0264,0.662,111.019,3,0,1950
I've Been Around,They Call Me The Fat Man (The Legendary Imperial Recordings),Fats Domino,2016-01-01,131066,8,0.751,0.249,0.381,0.00704,0.137,-14.239,0.0351,0.928,87.974,4,0,1950
Goodnight My Love (Pleasant Dreams),Tell Laura I Love Her,Ray Peterson,2011-01-01,160866,3,0.412,0.725,0.36,0.000314,0.422,-12.192,0.029,0.506,107.597,3,1,1950
Woo-Hoo,Pecker,Original Soundtrack,1998-09-29,129586,35,0.586,0.764,0.784,0.565,0.115,-12.678,0.0433,0.802,115.062,4,2,1950
Living Doll - 2003 Remaster,75 at 75,Cliff Richard,2015-09-18,156773,13,0.763,0.539,0.468,0.0,0.1,-7.492,0.0381,0.771,127.251,4,1,1950
If I Give My Heart to You - Single Version,If I Give My Heart to You,Kitty Kallen,1960,166866,29,0.247,0.873,0.221,1.12e-06,0.192,-15.103,0.0322,0.397,99.563,4,1,1950
Torquay,Clovis Classics: The Definitive Collection,The Fireballs,2009-10-01,116360,0,0.639,0.12,0.865,0.858,0.119,-10.253,0.0392,0.969,157.64,4,2,1950
Midnight Stroll,Songs That Made Us Laugh,Various Artists,2018-07-27,156120,0,0.336,0.77,0.497,0.0,0.328,-7.942,0.0345,0.625,74.491,4,1,1950
The Enchanted Sea,The Enchanted Sound of the Islanders,The Islanders,2016-06-28,124013,4,0.465,0.741,0.393,0.891,0.47,-14.277,0.0423,0.324,127.696,3,1,1950
Battle Hymn of the Republic (Arr. F. Werle and P.J. Wilhousky for Choir & Wind Ensemble) - Voice,An American Tribute,"The Mormon Tabernacle Choir, The United States Air Force Band, The Singing Sergeants",1986-06-03,771600,0,0.389,0.953,0.142,2.4e-06,0.742,-24.31,0.0846,0.152,108.867,4,1,1950
Teen Beat' 65,The Very Best Of Sandy Nelson,Sandy Nelson,2003-01-01,159426,10,0.439,0.00612,0.961,0.882,0.352,-9.381,0.0559,0.722,102.43,4,2,1950
Candy Apple Red,Bonnie Guitar EP,Bonnie Guitar,1960,144533,8,0.396,0.959,0.0534,0.669,0.107,-22.341,0.0311,0.373,62.926,4,1,1950
Just To Be With You,The Best Of Laurie Records,Various Artists,2016-03-01,144373,32,0.489,0.656,0.227,0.0,0.204,-13.105,0.0315,0.575,114.303,3,1,1950
"The Best of Everything - From the 20th Century Fox Film ""The Best of Everything""",The Music Of Johnny Mathis: A Personal Collection,Johnny Mathis,1972,163626,0,0.242,0.845,0.421,0.0,0.0911,-11.02,0.0349,0.263,79.675,4,1,1950
Symphony,Paradise,Sammy Turner,2010-04-20,154933,0,0.554,0.918,0.279,0.0026,0.173,-14.962,0.0362,0.603,107.007,4,1,1950
Teach Me Tiger,Ultra-Lounge/Cocktail Capers,Various Artists,1996-01-01,143200,30,0.587,0.484,0.16,6.01e-05,0.134,-18.767,0.0548,0.568,116.263,4,1,1950
Shadows,For Collectors Only,The Five Satins,1993,157293,25,0.515,0.817,0.312,0.000669,0.164,-10.504,0.0262,0.618,98.372,3,1,1950
Just Ask Your Heart,Collection 1954-62,Frankie Avalon,2018-06-08,146746,4,0.456,0.645,0.559,0.0,0.173,-9.081,0.0285,0.676,88.694,4,0,1950
Ebb Tide,The Best of Bobby Freeman,Bobby Freeman,1958-06-11,151360,0,0.382,0.94,0.113,4.12e-05,0.247,-17.63,0.0311,0.144,107.251,3,1,1950
Poison Ivy,Rhino Hi-Five: The Coasters,The Coasters,2005-12-20,164320,45,0.75,0.381,0.586,0.0,0.142,-8.985,0.0706,0.972,137.194,4,0,1950
Say Boss Man,Bo Diddley - Jukebox Hero,Bo Diddley,2014-11-21,157173,0,0.874,0.699,0.415,0.0078,0.162,-8.526,0.0456,0.709,143.848,4,1,1950
Pretend,Like Mann,Carl Mann,1975-01-01,156395,22,0.627,0.752,0.709,2.37e-05,0.19,-5.553,0.044,0.878,88.346,4,2,1950
Someday We'll Be Together,Cream Of The Crop,Diana Ross & The Supremes,1969-11-03,211666,56,0.678,0.14,0.535,2.17e-06,0.0596,-12.454,0.0329,0.795,107.041,4,0,1960
Leaving on a Jet Plane,Album 1700,"Peter, Paul and Mary",1967-10-31,207240,62,0.414,0.804,0.167,0.0,0.117,-16.519,0.0484,0.384,133.45,4,1,1960
"Raindrops Keep Fallin' On My Head - From ""Butch Cassidy And The Sundance Kid"" Soundtrack",Butch Cassidy And The Sundance Kid (Original Motion Picture Soundtrack),Burt Bacharach,1969-01-01,182666,0,0.63,0.807,0.266,0.00832,0.0826,-19.045,0.0525,0.665,108.515,4,1,1960
Na Na Hey Hey Kiss Him Goodbye,All-Star Sports Jams,Various Artists,2008-01-01,247173,44,0.637,0.0139,0.916,2.24e-05,0.21,-6.95,0.0458,0.506,114.987,4,0,1960
Holly Holy - Single Version,"Touching You, Touching Me",Neil Diamond,1969,280306,0,0.287,0.661,0.314,0.000418,0.127,-14.154,0.0283,0.387,103.414,4,1,1960
I Want You Back,Anthology: Jackson 5,The Jackson 5,2000-01-01,179226,62,0.67,0.439,0.584,0.00614,0.178,-8.325,0.034,0.944,98.185,4,0,1960
Whole Lotta Love - 1990 Remaster,Led Zeppelin II (1994 Remaster),Led Zeppelin,1969-10-22,333893,78,0.412,0.0484,0.902,0.131,0.405,-11.6,0.405,0.422,89.74,4,2,1960
"Take a Letter, Maria",R.B. Greaves,R.B. Greaves,1969,164520,49,0.582,0.636,0.5,9.71e-06,0.134,-11.647,0.0459,0.971,160.414,4,2,1960
Midnight Cowboy,All-Time Great Movie Themes,Ferrante & Teicher,1993-02-09,199200,37,0.275,0.108,0.5,0.902,0.144,-12.276,0.03,0.288,160.002,3,1,1960
Eli's Coming,The Best Of 3 Dog Night,Three Dog Night,1982-01-01,160146,38,0.303,0.332,0.643,1.92e-05,0.168,-11.326,0.079,0.472,169.237,4,1,1960
"Yester-Me, Yester-You, Yesterday",My Cherie Amour,Stevie Wonder,1969-08-01,185293,55,0.604,0.0311,0.357,0.0,0.0927,-11.419,0.0269,0.638,100.721,4,1,1960
And When I Die,"Blood, Sweat & Tears","Blood, Sweat & Tears",1968-12,242733,0,0.615,0.53,0.3,0.000954,0.0864,-16.973,0.127,0.566,128.061,4,0,1960
These Eyes,The Best Of The Guess Who,The Guess Who,1971,225400,49,0.545,0.541,0.35,2.18e-05,0.122,-13.155,0.0264,0.736,96.239,4,0,1960
Friendship Train,Nitty Gritty,Gladys Knight & The Pips,1969,230160,0,0.674,0.53,0.804,0.0,0.131,-7.242,0.0427,0.961,130.63,4,2,1960
Backfield In Motion,Good Guys Only Win In The Movies,Mel & Tim,1996,154560,0,0.685,0.703,0.721,0.0,0.278,-5.763,0.0426,0.951,122.567,4,2,1960
Venus,The Very Best Of Shocking Blue (Part One - The A Sides),Shocking Blue,2011-02-02,187533,52,0.691,0.462,0.762,0.0286,0.0804,-6.47,0.0367,0.957,128.111,4,2,1960
Jam Up And Jelly Tight,Greatest Hits - The Original ABC Hit Recordings,Tommy Roe,1993-01-01,142733,16,0.739,0.139,0.685,4.63e-05,0.0566,-8.808,0.0382,0.755,121.062,4,0,1960
Cherry Hill Park,The Best of Billy Joe Royal,Billy Joe Royal,1985-01-23,180320,35,0.614,0.609,0.501,0.0,0.123,-9.511,0.0422,0.896,125.727,4,0,1960
"Jingle, Jangle",Absolutely The Best Of The Archies,The Archies,1969,162480,8,0.643,0.0426,0.614,0.0,0.153,-7.275,0.0336,0.65,109.08,4,0,1960
Smile a Little Smile for Me (US Radio Version),Love Is All Around: Lite Pop of The '70s,Various Artists,2016-12-23,181360,0,0.686,0.19,0.516,0.0,0.0759,-8.575,0.0373,0.408,92.052,4,0,1960
"Baby, I'm For Real",Superstar Series - Celebrating Motown's Twentieth Anniversary,The Originals,1976-01-01,198706,41,0.328,0.502,0.251,0.0,0.132,-12.413,0.03,0.392,150.414,3,1,1960
Up On Cripple Creek - Remastered 2000,The Band (Expanded Edition),The Band,1969-09-22,274893,3,0.72,0.226,0.716,0.00335,0.0932,-8.773,0.0723,0.953,144.376,4,0,1960
Brand New Me,A Brand New Me,Dusty Springfield,1970-01-15,149706,19,0.448,0.61,0.41,0.0,0.116,-12.63,0.0682,0.703,128.416,4,0,1960
Evil Woman Don't Play Your Games With Me,Before The Storm,Crow,2008-02-25,229213,9,0.625,0.0288,0.744,0.00134,0.287,-6.506,0.0867,0.906,133.792,4,0,1960
Wedding Bell Blues - Remastered 2000,The Age Of Aquarius,The 5th Dimension,1969,164600,52,0.481,0.548,0.673,0.0,0.135,-5.41,0.0321,0.615,118.051,4,1,1960
Early In The Morning,Vanity Fare - Hitchin' A Ride (The Original Hits),Vanity Fare,2011-09-29,164546,35,0.55,0.499,0.674,0.0,0.0933,-6.87,0.0344,0.88,173.9,4,0,1960
Heaven Knows,20th Century Masters: The Millennium Collection: Best Of The Grass Roots,The Grass Roots,2001-01-01,146826,22,0.687,0.135,0.588,0.000234,0.0572,-9.744,0.0334,0.956,125.808,4,0,1960
Eleanor Rigby - Remastered 2009,Revolver (Remastered),The Beatles,1966-08-05,126533,70,0.581,0.936,0.28,1.56e-05,0.305,-9.091,0.0381,0.813,137.831,4,1,1960
Cold Turkey - Single Version / Remastered 2010,Power To The People - The Hits,John Lennon,2010-10-04,304240,0,0.628,0.0059,0.556,0.0277,0.0762,-12.146,0.181,0.45,115.02,4,0,1960
She - Single Version,The Essentials: Tommy James & The Shondells,Tommy James & The Shondells,2002-06-04,123893,14,0.317,0.767,0.535,1.69e-05,0.331,-10.785,0.0398,0.859,168.961,4,0,1960
Sunday Mornin',The Best Of Spanky & Our Gang 20th Century Masters The Millennium Collection,Spanky & Our Gang,2005-01-01,233066,10,0.296,0.769,0.554,0.00297,0.205,-8.353,0.0322,0.412,98.691,4,1,1960
Going In Circles,Grazin',The Friends Of Distinction,1969-03-26,252280,47,0.385,0.809,0.339,0.0,0.307,-10.413,0.0373,0.278,117.449,3,1,1960
"Wonderful World, Beautiful People - Single Version",Best Of / 20th Century Masters,Jimmy Cliff,2004-04-20,193480,44,0.783,0.0078,0.478,0.0,0.0617,-11.305,0.0271,0.859,105.85,4,0,1960
Point It Out,A Pocket Full Of Miracles,Smokey Robinson & The Miracles,1970-01-01,155853,12,0.418,0.58,0.456,0.0,0.15,-9.309,0.0294,0.89,180.184,4,0,1960
Winter World Of Love,Engelbert Humperdinck: 50,Engelbert Humperdinck,2017-05-19,199626,21,0.212,0.851,0.343,3.27e-06,0.0908,-12.432,0.0323,0.231,179.538,4,1,1960
Okie From Muskogee - Live At The Philadelphia Civic Center/1970,The Fightin' Side Of Me (Live),Merle Haggard & The Strangers,1970-01-01,209960,37,0.575,0.646,0.638,2.29e-06,0.437,-7.418,0.244,0.774,137.616,4,0,1960
Cupid,The Man Who Invented Soul,Sam Cooke,2000-09-26,154866,46,0.469,0.843,0.393,0.0,0.168,-9.968,0.0348,0.601,120.066,4,1,1960
Don't Let Love Hang You Up,Essential Jerry Butler,Jerry Butler,1997-01-01,149533,0,0.742,0.214,0.598,0.0,0.179,-11.434,0.0473,0.953,120.001,4,0,1960
Don't Let Him Take Your Love From Me - Single Version (Mono),50th Anniversary | The Singles Collection | 1964-1972,Four Tops,2013-01-01,157946,0,0.713,0.323,0.861,0.0,0.0992,-5.554,0.0564,0.947,105.985,4,2,1960
Arizona,Arizona,Mark Lindsay,1970-03-04,188133,42,0.479,0.225,0.453,0.00038,0.143,-12.806,0.0472,0.756,81.18,4,0,1960
Kozmic Blues,Janis Joplin: The Woodstock Experience,Janis Joplin,2009-06-30,262000,47,0.335,0.709,0.624,0.325,0.575,-8.204,0.0472,0.511,178.415,3,1,1960
(It Looks Like) I'll Never Fall In Love Again,The Best Of Tom Jones - 20th Century Masters: The Millennium Collection,Tom Jones,2000-02-08,250626,0,0.321,0.761,0.35,6.2e-05,0.109,-11.428,0.0287,0.365,146.987,3,1,1960
Fancy,Fancy,Bobbie Gentry,1970-05-01,258912,44,0.618,0.502,0.243,0.0,0.102,-19.003,0.0848,0.556,104.373,4,1,1960
Walkin' In The Rain,Come A Little Bit Closer: The Best Of Jay & The Americans,Jay & The Americans,1964,167293,22,0.518,0.326,0.466,1.11e-06,0.174,-13.555,0.0325,0.642,114.303,4,1,1960
She Belongs To Me,The Best Of Rick Nelson - 1963 To 1975,Ricky Nelson,1990-01-01,182400,10,0.628,0.311,0.199,0.183,0.112,-20.337,0.027,0.614,100.943,4,1,1960
I'll Hold Out My Hand,The Clique,The Clique,1998-01-01,157466,6,0.568,0.509,0.724,0.0,0.179,-8.443,0.0276,0.876,102.206,4,0,1960
She Came In Through The Bathroom Window,Joe Cocker!,Joe Cocker,1969-11,156373,0,0.585,0.446,0.58,6.17e-06,0.102,-9.356,0.0273,0.692,88.481,4,0,1960
Midnight,Johnny Gibson,Johnny Gibson,2009-08-25,142080,2,0.616,0.856,0.796,0.946,0.321,-8.974,0.0341,0.962,140.501,4,2,1960
One Tin Soldier - Theme from Billy Jack,One Tin Soldier (Theme from Billy Jack) - Single,The Original Caste,2013-01-30,218026,42,0.375,0.361,0.605,0.0,0.241,-6.871,0.0513,0.459,164.88,4,0,1960
Volunteers - Remastered,Volunteers,Jefferson Airplane,2004-06-18,123453,46,0.501,0.505,0.825,2.2e-05,0.361,-7.503,0.0346,0.814,106.923,4,0,1960
