track_title,album_name,artist,release_year,song_length_ms,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,Mood
Shotgun,Staying at Tamara's,George Ezra,2018-03-23,201287,81,0.672,0.286,0.672,0.735,0.0,0.242,-4.733,0.0457,0.754,115.741,4,Happy
"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)",Train,2010-12-01,216773,85,0.673,0.185,0.673,0.886,0.0,0.0826,-4.44,0.0431,0.795,97.012,4,Happy
Little Bit of Love,Little Bit of Love,Tom Grennan,2021-01-08,226268,78,0.689,0.0833,0.689,0.706,0.0,0.105,-4.48,0.0312,0.623,106.52,4,Happy
Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,92,0.548,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,0.557,95.39,4,Happy
Norgaard,What Did You Expect from the Vaccines?,The Vaccines,2011-03-11,98400,0,0.323,5.12e-06,0.323,0.847,0.0208,0.25,-4.716,0.0348,0.859,173.914,4,Happy
Live While We're Young,Happy Songs,Various Artists,2020-06-16,200346,21,0.646,0.0856,0.646,0.778,0.0,0.111,-4.07,0.0522,0.874,126.001,4,Happy
Shut Up and Dance,TALKING IS HARD (Expanded Edition),WALK THE MOON,2014-12-02,199080,68,0.578,0.00701,0.578,0.866,0.0,0.257,-3.804,0.0619,0.619,128.038,4,Happy
Somebody,Brighter Days,Sigala,2018-09-28,238666,58,0.679,0.0916,0.679,0.849,0.0,0.121,-3.841,0.0649,0.683,100.095,4,Happy
Bad Vibrations,Bad Vibrations,Jesper Jenset,2018-09-21,199379,56,0.768,0.00417,0.768,0.589,2.67e-05,0.136,-8.991,0.0403,0.757,97.979,4,Happy
Sucker for You,Sucker for You,Matt Terry,2017-10-13,203680,57,0.876,0.223,0.876,0.649,0.0,0.332,-4.369,0.0691,0.742,95.034,4,Happy
Lush Life,So Good,Zara Larsson,2017-03-17,201122,79,0.694,0.133,0.694,0.712,0.0,0.211,-3.923,0.046,0.799,98.022,4,Happy
ice water,ice water,shallow pools,2021-01-15,172376,36,0.639,0.0016,0.639,0.844,0.00247,0.238,-3.126,0.0409,0.697,110.031,4,Happy
Excuses,Excuses,Audrey Mika,2021-01-15,145700,59,0.789,0.193,0.789,0.567,0.00023,0.18,-8.501,0.0585,0.725,144.021,4,Happy
Promises (with Sam Smith),Promises (with Sam Smith),Calvin Harris,2018-08-17,213309,80,0.781,0.0119,0.781,0.768,4.91e-06,0.325,-5.991,0.0394,0.486,123.07,4,Happy
happiness - Dyro Remix,happiness (Dyro Remix),John K,2020-12-18,152526,46,0.79,0.00616,0.79,0.758,0.0,0.152,-4.286,0.221,0.79,117.82,4,Happy
Medicine,Medicine,Robinson,2018-09-07,225587,58,0.529,0.134,0.529,0.817,0.0,0.0905,-4.05,0.052,0.299,77.053,4,Happy
One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),Calvin Harris,2018-04-06,214846,84,0.791,0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0.11,0.592,123.994,4,Happy
Savage Love (Laxed – Siren Beat) [BTS Remix],Savage Love (Laxed - Siren Beat) [BTS Remix],Jawsh 685,2020-10-02,184905,81,0.758,0.16,0.758,0.598,0.0,0.295,-5.695,0.0868,0.658,149.836,4,Happy
Hope,Sick Boy,The Chainsmokers,2018-12-14,180120,69,0.773,0.488,0.773,0.699,3.6e-06,0.0814,-5.982,0.0958,0.513,104.941,4,Happy
All I Need - Rudimental Remix,All I Need (Rudimental Remix),Jake Bugg,2020-12-18,184941,45,0.558,0.0267,0.558,0.743,0.00504,0.111,-5.744,0.0425,0.4,169.981,4,Happy
Stargazing,Stargazing - EP,Kygo,2017-09-21,236853,72,0.677,0.152,0.677,0.497,0.0,0.0911,-5.763,0.0809,0.419,99.137,4,Happy
H.O.L.Y.,Sticker on My Suitcase,Alle Farben,2019-06-14,174506,51,0.565,0.195,0.565,0.653,0.0,0.191,-5.846,0.0626,0.471,100.051,4,Happy
What a Feeling,Made In The A.M. (Deluxe Edition),One Direction,2015-11-13,200533,71,0.678,0.149,0.678,0.869,0.0,0.0593,-4.345,0.0461,0.882,123.964,4,Happy
Stay Next To Me (with Chelsea Cutler),Stay Next To Me (with Chelsea Cutler),Quinn XCII,2020-12-04,206045,76,0.581,0.0805,0.581,0.584,0.0,0.366,-4.928,0.284,0.756,179.954,4,Happy
Livin' la Vida Loca,Ricky Martin,Ricky Martin,1999,243160,75,0.425,0.00411,0.425,0.954,0.0,0.0555,-3.756,0.0476,0.933,178.043,4,Happy
Stuck In My Head (feat. AJ Mitchell),Stuck In My Head (feat. AJ Mitchell),Captain Cuts,2020-11-20,161074,52,0.582,0.203,0.582,0.643,0.0,0.0735,-5.242,0.325,0.645,102.09,4,Happy
Crime,Crime,VAX,2018-08-17,153930,52,0.666,0.369,0.666,0.435,0.0,0.106,-8.089,0.0391,0.6,114.963,4,Happy
Is It Just Me? (feat. Charlie Puth),Is It Just Me? (feat. Charlie Puth),Sasha Sloan,2020-11-19,154274,73,0.682,0.699,0.682,0.363,3e-05,0.363,-10.837,0.0261,0.203,94.978,4,Happy
Times Like These,One By One (Expanded Edition),Foo Fighters,2002-10-22,265560,69,0.376,1.4e-05,0.376,0.908,1.4e-05,0.241,-3.793,0.0879,0.266,144.581,4,Happy
Lost in Translation,Chip Chrome & The Mono-Tones,The Neighbourhood,2020-09-25,190226,65,0.568,0.000896,0.568,0.891,0.000137,0.357,-5.786,0.0376,0.522,104.954,4,Happy
"Hold Us Together - From the Disney+ Original Motion Picture ""Safety""","Hold Us Together (From the Disney+ Original Motion Picture ""Safety"")",H.E.R.,2020-12-11,313193,57,0.393,0.0618,0.393,0.555,1.76e-06,0.418,-7.26,0.049,0.328,110.663,5,Happy
Step It Up (feat. Sharlene Hector) - Acoustic,Step It Up (feat. Sharlene Hector) [Acoustic],Armand Van Helden,2020-12-11,249984,36,0.762,0.00529,0.762,0.642,0.0,0.108,-4.387,0.134,0.501,96.957,4,Happy
BOYSHIT,BOYSHIT,Madison Beer,2020-12-11,160397,71,0.638,0.0203,0.638,0.699,0.0,0.0879,-6.542,0.0892,0.57,121.122,4,Happy
Lasting Lover,Lasting Lover,Sigala,2020-09-04,218358,84,0.676,0.197,0.676,0.786,0.0,0.0943,-4.529,0.0478,0.483,125.983,4,Happy
Matches,Glory (Deluxe),Britney Spears,2020-12-11,172906,64,0.957,0.0451,0.957,0.507,0.0,0.0543,-6.206,0.0539,0.817,123.998,4,Happy
Love Looks Better,Love Looks Better,Alicia Keys,2020-09-10,203320,63,0.562,0.0211,0.562,0.683,0.0,0.176,-6.179,0.0328,0.464,97.061,4,Happy
hole in the bottle,kelsea,Kelsea Ballerini,2020-03-20,155668,63,0.478,0.0486,0.478,0.873,0.0,0.374,-3.637,0.122,0.739,104.365,4,Happy
good things take time,good things take time,Christian French,2020-09-18,156506,53,0.807,0.0663,0.807,0.495,0.0,0.111,-7.859,0.034,0.74,93.063,4,Happy
Drink to That All Night,High Noon,Jerrod Niemann,2014-03-21,224813,65,0.639,0.0325,0.639,0.846,0.0,0.116,-6.184,0.0439,0.475,115.965,4,Happy
Too Fast,Too Fast,X Lovers,2020-08-28,153522,49,0.732,0.255,0.732,0.678,0.0,0.0638,-4.078,0.177,0.92,166.019,4,Happy
Happy Now,Happy Now,Pentatonix,2020-08-14,206135,47,0.659,0.0537,0.659,0.689,0.0,0.0904,-6.649,0.0503,0.579,95.98,4,Happy
Outside (feat. Ellie Goulding),Motion,Calvin Harris,2014-10-31,227266,80,0.646,0.213,0.646,0.823,0.0,0.322,-4.123,0.0394,0.418,128.035,4,Happy
Sometimes Always Never,Sometimes Always Never EP,Brandon Ratcliff,2020-08-21,193672,45,0.792,0.0803,0.792,0.787,0.0,0.255,-5.022,0.0337,0.961,122.103,4,Happy
Dancing in the Moonlight,Onka's Big Moka,Toploader,2000,232693,78,0.632,0.0624,0.632,0.856,0.0,0.347,-3.463,0.0348,0.867,119.397,4,Happy
Treat People With Kindness,Fine Line,Harry Styles,2019-12-13,197346,75,0.653,0.128,0.653,0.869,2.2e-05,0.046,-3.725,0.0382,0.697,122.017,4,Happy
Sunshine Kissing,Sunshine Kissing,Gerry Read,2020-11-06,193996,38,0.825,0.000417,0.825,0.842,0.835,0.0601,-6.412,0.103,0.44,125.988,4,Happy
parachute,love + everything else,John K,2020-11-13,156505,64,0.786,0.0503,0.786,0.588,0.0,0.167,-3.777,0.165,0.685,75.011,4,Happy
Good Morning New Day,The Essential Spiral Starecase,The Spiral Starecase,2020-08-28,129866,36,0.591,0.248,0.591,0.688,0.0,0.169,-8.583,0.0414,0.759,139.475,4,Happy
Year of the Young,Year of the Young,Smith & Thell,2020-08-14,164200,63,0.611,0.000817,0.611,0.88,1.01e-05,0.0598,-6.571,0.0378,0.771,144.996,4,Happy
Fly Away,Fly Away,Tones And I,2020-11-13,178156,84,0.806,0.217,0.806,0.513,0.0,0.217,-6.208,0.0685,0.503,124.988,4,Happy
Holy (feat. Chance The Rapper),Holy,Justin Bieber,2020-09-18,212093,88,0.673,0.196,0.673,0.704,0.0,0.0898,-8.056,0.36,0.372,86.919,4,Happy
Wonder,Wonder,Shawn Mendes,2020-10-02,172692,83,0.333,0.131,0.333,0.637,1.8e-05,0.149,-4.904,0.0581,0.132,139.898,4,Happy
Dancing in the Moonlight (feat. NEIMY),Dancing in the Moonlight (feat. NEIMY),Jubël,2018-06-22,164009,66,0.659,0.27,0.659,0.617,0.0,0.187,-5.862,0.0649,0.187,119.858,4,Happy
The Best Days (feat. Tabitha),The Best Days (feat. Tabitha),Sam Feldt,2020-11-20,161944,74,0.667,0.0863,0.667,0.827,0.0,0.0565,-5.631,0.0368,0.573,107.95,4,Happy
Together,Together,Sia,2020-05-20,205207,79,0.521,0.0132,0.521,0.877,0.0806,0.0929,-5.444,0.0683,0.199,180.007,4,Happy
Love You Better,Love You Better,John De Sohn,2019-11-15,170893,70,0.733,0.0931,0.733,0.786,0.0013,0.1,-7.494,0.0422,0.786,102.999,4,Happy
Watermelon Sugar,Watermelon Sugar,Harry Styles,2019-11-17,174000,78,0.548,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,0.557,95.39,4,Happy
Good Vibes,Good Vibes,HRVY,2020-09-04,170280,71,0.558,0.274,0.558,0.877,0.0,0.162,-3.392,0.145,0.762,99.988,4,Happy
Anyone,Anyone,Justin Bieber,2021-01-01,190779,91,0.686,0.181,0.686,0.538,3.13e-06,0.113,-8.026,0.0345,0.584,115.884,4,Happy
What A Man Gotta Do,What A Man Gotta Do,Jonas Brothers,2020-01-17,180644,83,0.852,0.00839,0.852,0.698,1.03e-06,0.0773,-7.206,0.0629,0.324,113.039,4,Happy
Take You Dancing,Take You Dancing,Jason Derulo,2020-07-22,190306,88,0.789,0.0332,0.789,0.711,0.0,0.0876,-4.248,0.041,0.753,112.985,4,Happy
